id,wikilocUrl,dificultad,tipo,km,desnivelPosM
monte-pindo-circular,https://www.wikiloc.com/trails/hiking?q=Monte%20Pindo,alta,circular,11,700
monte-louro-lagoa,https://www.wikiloc.com/trails/hiking?q=Monte%20Louro,media,circular,8,300
